survey_round,perception_category,perception_type,response_category,response_percentage
2025-03-01,Spending- Essential Items,One year ahead Expectation,Net Response,84.4
2025-05-01,Spending- Essential Items,One year ahead Expectation,Net Response,85.1
2025-07-01,Spending- Essential Items,One year ahead Expectation,Net Response,86.2
2024-07-01,Spending- Non-Essential Items,Current Perception,Increased,29.0
2024-09-01,Spending- Non-Essential Items,Current Perception,Increased,27.6
2024-11-01,Spending- Non-Essential Items,Current Perception,Increased,30.2
2025-01-01,Spending- Non-Essential Items,Current Perception,Increased,29.2
2025-03-01,Spending- Non-Essential Items,Current Perception,Increased,28.5
2025-05-01,Spending- Non-Essential Items,Current Perception,Increased,27.8
2025-07-01,Spending- Non-Essential Items,Current Perception,Increased,37.6
2024-07-01,Spending- Non-Essential Items,Current Perception,Remained Same,36.7
2024-09-01,Spending- Non-Essential Items,Current Perception,Remained Same,40.2
2024-11-01,Spending- Non-Essential Items,Current Perception,Remained Same,37.2
2025-01-01,Spending- Non-Essential Items,Current Perception,Remained Same,38.5
2025-03-01,Spending- Non-Essential Items,Current Perception,Remained Same,40.9
2025-05-01,Spending- Non-Essential Items,Current Perception,Remained Same,41.1
2025-07-01,Spending- Non-Essential Items,Current Perception,Remained Same,25.1
2024-07-01,Spending- Non-Essential Items,Current Perception,Decreased,34.4
2024-09-01,Spending- Non-Essential Items,Current Perception,Decreased,32.3
2024-11-01,Spending- Non-Essential Items,Current Perception,Decreased,32.6
2025-01-01,Spending- Non-Essential Items,Current Perception,Decreased,32.3
2025-03-01,Spending- Non-Essential Items,Current Perception,Decreased,30.7
2025-05-01,Spending- Non-Essential Items,Current Perception,Decreased,31.2
2025-07-01,Spending- Non-Essential Items,Current Perception,Decreased,37.3
2024-07-01,Spending- Non-Essential Items,Current Perception,Net Response,-5.4
2024-09-01,Spending- Non-Essential Items,Current Perception,Net Response,-4.7
2024-11-01,Spending- Non-Essential Items,Current Perception,Net Response,-2.4
2025-01-01,Spending- Non-Essential Items,Current Perception,Net Response,-3.1
2025-03-01,Spending- Non-Essential Items,Current Perception,Net Response,-2.2
2025-05-01,Spending- Non-Essential Items,Current Perception,Net Response,-3.4
2025-07-01,Spending- Non-Essential Items,Current Perception,Net Response,0.4
2024-07-01,Spending- Non-Essential Items,One year ahead Expectation,Will Increase,37.4
2024-09-01,Spending- Non-Essential Items,One year ahead Expectation,Will Increase,36.4
2024-11-01,Spending- Non-Essential Items,One year ahead Expectation,Will Increase,38.4
2025-01-01,Spending- Non-Essential Items,One year ahead Expectation,Will Increase,37.4
2025-03-01,Spending- Non-Essential Items,One year ahead Expectation,Will Increase,37.7
2025-05-01,Spending- Non-Essential Items,One year ahead Expectation,Will Increase,38.2
2025-07-01,Spending- Non-Essential Items,One year ahead Expectation,Will Increase,43.6
2024-07-01,Spending- Non-Essential Items,One year ahead Expectation,Will Remain Same,35.6
2024-09-01,Spending- Non-Essential Items,One year ahead Expectation,Will Remain Same,37.8
2024-11-01,Spending- Non-Essential Items,One year ahead Expectation,Will Remain Same,35.0
2025-01-01,Spending- Non-Essential Items,One year ahead Expectation,Will Remain Same,36.1
2025-03-01,Spending- Non-Essential Items,One year ahead Expectation,Will Remain Same,37.7
2025-05-01,Spending- Non-Essential Items,One year ahead Expectation,Will Remain Same,37.3
2025-07-01,Spending- Non-Essential Items,One year ahead Expectation,Will Remain Same,27.7
2024-07-01,Spending- Non-Essential Items,One year ahead Expectation,Will Decrease,27.0
2024-09-01,Spending- Non-Essential Items,One year ahead Expectation,Will Decrease,25.8
2024-11-01,Spending- Non-Essential Items,One year ahead Expectation,Will Decrease,26.6
2025-01-01,Spending- Non-Essential Items,One year ahead Expectation,Will Decrease,26.5
2025-03-01,Spending- Non-Essential Items,One year ahead Expectation,Will Decrease,24.6
2025-05-01,Spending- Non-Essential Items,One year ahead Expectation,Will Decrease,24.5
2025-07-01,Spending- Non-Essential Items,One year ahead Expectation,Will Decrease,28.7
2024-07-01,Spending- Non-Essential Items,One year ahead Expectation,Net Response,10.3
2024-09-01,Spending- Non-Essential Items,One year ahead Expectation,Net Response,10.6
2024-11-01,Spending- Non-Essential Items,One year ahead Expectation,Net Response,11.8
2025-01-01,Spending- Non-Essential Items,One year ahead Expectation,Net Response,11.0
2025-03-01,Spending- Non-Essential Items,One year ahead Expectation,Net Response,13.1
2025-05-01,Spending- Non-Essential Items,One year ahead Expectation,Net Response,13.8
2025-07-01,Spending- Non-Essential Items,One year ahead Expectation,Net Response,15.0
2024-01-01,the General Economic Situation,Current Perception,Increased,37.5
2024-03-01,the General Economic Situation,Current Perception,Increased,41.2
2024-05-01,the General Economic Situation,Current Perception,Increased,40.0
2024-01-01,the General Economic Situation,Current Perception,Remained Same,22.3
2024-03-01,the General Economic Situation,Current Perception,Remained Same,23.1
2024-05-01,the General Economic Situation,Current Perception,Remained Same,22.6
2024-01-01,the General Economic Situation,Current Perception,Decreased,40.2
2024-03-01,the General Economic Situation,Current Perception,Decreased,35.8
2024-05-01,the General Economic Situation,Current Perception,Decreased,37.4
2024-01-01,the General Economic Situation,Current Perception,Net Response,-2.7
2024-03-01,the General Economic Situation,Current Perception,Net Response,5.4
2024-05-01,the General Economic Situation,Current Perception,Net Response,2.6
2024-01-01,the General Economic Situation,One year ahead Expectation,Will Increase,59.2
2024-03-01,the General Economic Situation,One year ahead Expectation,Will Increase,60.7
2024-05-01,the General Economic Situation,One year ahead Expectation,Will Increase,59.0
2024-01-01,the General Economic Situation,One year ahead Expectation,Will Remain Same,15.3
2024-03-01,the General Economic Situation,One year ahead Expectation,Will Remain Same,15.8
2024-05-01,the General Economic Situation,One year ahead Expectation,Will Remain Same,15.6
2024-01-01,the General Economic Situation,One year ahead Expectation,Will Decrease,25.5
2024-03-01,the General Economic Situation,One year ahead Expectation,Will Decrease,23.4
2024-05-01,the General Economic Situation,One year ahead Expectation,Will Decrease,25.4
2024-01-01,the General Economic Situation,One year ahead Expectation,Net Response,33.7
2024-03-01,the General Economic Situation,One year ahead Expectation,Net Response,37.3
2024-05-01,the General Economic Situation,One year ahead Expectation,Net Response,33.5
2024-01-01,Employment,Current Perception,Increased,35.3
2024-03-01,Employment,Current Perception,Increased,38.1
2024-05-01,Employment,Current Perception,Increased,36.8
2024-01-01,Employment,Current Perception,Remained Same,23.4
2024-03-01,Employment,Current Perception,Remained Same,23.8
2024-05-01,Employment,Current Perception,Remained Same,23.0
2024-01-01,Employment,Current Perception,Decreased,41.3
2024-03-01,Employment,Current Perception,Decreased,38.1
2024-05-01,Employment,Current Perception,Decreased,40.2
2024-01-01,Employment,Current Perception,Net Response,-6.0
2024-03-01,Employment,Current Perception,Net Response,0.0
2024-05-01,Employment,Current Perception,Net Response,-3.3
2024-01-01,Employment,One year ahead Expectation,Will Increase,58.7
2024-03-01,Employment,One year ahead Expectation,Will Increase,60.0
2024-05-01,Employment,One year ahead Expectation,Will Increase,58.0
2024-01-01,Employment,One year ahead Expectation,Will Remain Same,17.4
2024-03-01,Employment,One year ahead Expectation,Will Remain Same,17.4
2024-05-01,Employment,One year ahead Expectation,Will Remain Same,18.3
2024-01-01,Employment,One year ahead Expectation,Will Decrease,24.0
2024-03-01,Employment,One year ahead Expectation,Will Decrease,22.6
2024-05-01,Employment,One year ahead Expectation,Will Decrease,23.7
2024-01-01,Employment,One year ahead Expectation,Net Response,34.7
2024-03-01,Employment,One year ahead Expectation,Net Response,37.4
2024-05-01,Employment,One year ahead Expectation,Net Response,34.3
2024-01-01,Price Level,Current Perception,Increased,90.8
2024-03-01,Price Level,Current Perception,Increased,89.2
2024-05-01,Price Level,Current Perception,Increased,90.5
2024-01-01,Price Level,Current Perception,Remained Same,7.2
2024-03-01,Price Level,Current Perception,Remained Same,9.3
2024-05-01,Price Level,Current Perception,Remained Same,7.8
2024-01-01,Price Level,Current Perception,Decreased,2.0
2024-03-01,Price Level,Current Perception,Decreased,1.4
2024-05-01,Price Level,Current Perception,Decreased,1.6
2024-01-01,Price Level,Current Perception,Net Response,-88.9
2024-03-01,Price Level,Current Perception,Net Response,-87.8
2024-05-01,Price Level,Current Perception,Net Response,-88.9
2024-01-01,Price Level,One year ahead Expectation,Will Increase,80.5
2024-03-01,Price Level,One year ahead Expectation,Will Increase,78.2
2024-05-01,Price Level,One year ahead Expectation,Will Increase,79.0
2024-01-01,Price Level,One year ahead Expectation,Will Remain Same,10.4
2024-03-01,Price Level,One year ahead Expectation,Will Remain Same,12.5
2024-05-01,Price Level,One year ahead Expectation,Will Remain Same,10.4
2024-01-01,Price Level,One year ahead Expectation,Will Decrease,9.1
2024-03-01,Price Level,One year ahead Expectation,Will Decrease,9.4
2024-05-01,Price Level,One year ahead Expectation,Will Decrease,10.6
2024-01-01,Price Level,One year ahead Expectation,Net Response,-71.4
2024-03-01,Price Level,One year ahead Expectation,Net Response,-68.8
2024-05-01,Price Level,One year ahead Expectation,Net Response,-68.4
2024-01-01,Rate of Change in Price Level (Inflation),Current Perception,Increased,79.5
2024-03-01,Rate of Change in Price Level (Inflation),Current Perception,Increased,77.0
2024-05-01,Rate of Change in Price Level (Inflation),Current Perception,Increased,77.8
2024-01-01,Rate of Change in Price Level (Inflation),Current Perception,Remained Same,15.7
2024-03-01,Rate of Change in Price Level (Inflation),Current Perception,Remained Same,17.6
2024-05-01,Rate of Change in Price Level (Inflation),Current Perception,Remained Same,15.1
2024-01-01,Rate of Change in Price Level (Inflation),Current Perception,Decreased,4.8
2024-03-01,Rate of Change in Price Level (Inflation),Current Perception,Decreased,5.4
2024-05-01,Rate of Change in Price Level (Inflation),Current Perception,Decreased,7.1
2024-01-01,Rate of Change in Price Level (Inflation),Current Perception,Net Response,-74.7
2024-03-01,Rate of Change in Price Level (Inflation),Current Perception,Net Response,-71.6
2024-05-01,Rate of Change in Price Level (Inflation),Current Perception,Net Response,-70.6
2024-01-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Increase,77.2
2024-03-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Increase,76.7
2024-05-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Increase,79.1
2024-01-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Remain Same,17.8
2024-03-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Remain Same,18.3
2024-05-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Remain Same,16.0
2024-01-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Decrease,5.0
2024-03-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Decrease,5.0
2024-05-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Decrease,4.9
2024-01-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Net Response,-72.2
2024-03-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Net Response,-71.7
2024-05-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Net Response,-74.3
2024-01-01,Income,Current Perception,Increased,26.4
2024-03-01,Income,Current Perception,Increased,27.7
2024-05-01,Income,Current Perception,Increased,25.3
2024-01-01,Income,Current Perception,Remained Same,51.5
2024-03-01,Income,Current Perception,Remained Same,50.6
2024-05-01,Income,Current Perception,Remained Same,52.3
2024-01-01,Income,Current Perception,Decreased,22.1
2024-03-01,Income,Current Perception,Decreased,21.7
2024-05-01,Income,Current Perception,Decreased,22.4
2024-01-01,Income,Current Perception,Net Response,4.2
2024-03-01,Income,Current Perception,Net Response,6.0
2024-05-01,Income,Current Perception,Net Response,2.9
2024-01-01,Income,One year ahead Expectation,Will Increase,56.3
2024-03-01,Income,One year ahead Expectation,Will Increase,56.7
2024-05-01,Income,One year ahead Expectation,Will Increase,56.9
2024-01-01,Income,One year ahead Expectation,Will Remain Same,36.9
2024-03-01,Income,One year ahead Expectation,Will Remain Same,37.2
2024-05-01,Income,One year ahead Expectation,Will Remain Same,36.9
2024-01-01,Income,One year ahead Expectation,Will Decrease,6.8
2024-03-01,Income,One year ahead Expectation,Will Decrease,6.1
2024-05-01,Income,One year ahead Expectation,Will Decrease,6.2
2024-01-01,Income,One year ahead Expectation,Net Response,49.4
2024-03-01,Income,One year ahead Expectation,Net Response,50.5
2024-05-01,Income,One year ahead Expectation,Net Response,50.7
2024-01-01,Spending,Current Perception,Increased,73.2
2024-03-01,Spending,Current Perception,Increased,73.1
2024-05-01,Spending,Current Perception,Increased,76.2
2024-01-01,Spending,Current Perception,Remained Same,22.3
2024-03-01,Spending,Current Perception,Remained Same,23.1
2024-05-01,Spending,Current Perception,Remained Same,20.1
2024-01-01,Spending,Current Perception,Decreased,4.5
2024-03-01,Spending,Current Perception,Decreased,3.8
2024-05-01,Spending,Current Perception,Decreased,3.8
2024-01-01,Spending,Current Perception,Net Response,68.6
2024-03-01,Spending,Current Perception,Net Response,69.2
2024-05-01,Spending,Current Perception,Net Response,72.5
2024-01-01,Spending,One year ahead Expectation,Will Increase,74.2
2024-03-01,Spending,One year ahead Expectation,Will Increase,73.9
2024-05-01,Spending,One year ahead Expectation,Will Increase,77.9
2024-01-01,Spending,One year ahead Expectation,Will Remain Same,20.9
2024-03-01,Spending,One year ahead Expectation,Will Remain Same,21.7
2024-05-01,Spending,One year ahead Expectation,Will Remain Same,18.1
2024-01-01,Spending,One year ahead Expectation,Will Decrease,5.0
2024-03-01,Spending,One year ahead Expectation,Will Decrease,4.3
2024-05-01,Spending,One year ahead Expectation,Will Decrease,4.0
2024-01-01,Spending,One year ahead Expectation,Net Response,69.2
2024-03-01,Spending,One year ahead Expectation,Net Response,69.6
2024-05-01,Spending,One year ahead Expectation,Net Response,73.9
2024-01-01,Spending - Essential Items,Current Perception,Increased,84.1
2024-03-01,Spending - Essential Items,Current Perception,Increased,84.5
2024-05-01,Spending - Essential Items,Current Perception,Increased,85.6
2024-07-01,Spending - Essential Items,Current Perception,Increased,87.3
2024-09-01,Spending - Essential Items,Current Perception,Increased,87.9
2024-11-01,Spending - Essential Items,Current Perception,Increased,88.6
2025-01-01,Spending - Essential Items,Current Perception,Increased,87.6
2024-01-01,Spending - Essential Items,Current Perception,Remained Same,12.9
2024-03-01,Spending - Essential Items,Current Perception,Remained Same,13.0
2024-05-01,Spending - Essential Items,Current Perception,Remained Same,11.8
2024-07-01,Spending - Essential Items,Current Perception,Remained Same,10.5
2024-09-01,Spending - Essential Items,Current Perception,Remained Same,10.3
2024-11-01,Spending - Essential Items,Current Perception,Remained Same,9.7
2025-01-01,Spending - Essential Items,Current Perception,Remained Same,10.9
2024-01-01,Spending - Essential Items,Current Perception,Decreased,3.0
2024-03-01,Spending - Essential Items,Current Perception,Decreased,2.5
2024-05-01,Spending - Essential Items,Current Perception,Decreased,2.7
2024-07-01,Spending - Essential Items,Current Perception,Decreased,2.2
2024-09-01,Spending - Essential Items,Current Perception,Decreased,1.8
2024-11-01,Spending - Essential Items,Current Perception,Decreased,1.7
2025-01-01,Spending - Essential Items,Current Perception,Decreased,1.6
2024-01-01,Spending - Essential Items,Current Perception,Net Response,81.1
2024-03-01,Spending - Essential Items,Current Perception,Net Response,82.0
2024-05-01,Spending - Essential Items,Current Perception,Net Response,82.9
2024-07-01,Spending - Essential Items,Current Perception,Net Response,85.1
2024-09-01,Spending - Essential Items,Current Perception,Net Response,86.2
2024-11-01,Spending - Essential Items,Current Perception,Net Response,86.9
2025-01-01,Spending - Essential Items,Current Perception,Net Response,86.0
2024-01-01,Spending - Essential Items,One year ahead Expectation,Will Increase,81.8
2024-03-01,Spending - Essential Items,One year ahead Expectation,Will Increase,82.5
2024-05-01,Spending - Essential Items,One year ahead Expectation,Will Increase,84.7
2024-07-01,Spending - Essential Items,One year ahead Expectation,Will Increase,85.0
2024-09-01,Spending - Essential Items,One year ahead Expectation,Will Increase,84.9
2024-11-01,Spending - Essential Items,One year ahead Expectation,Will Increase,85.9
2025-01-01,Spending - Essential Items,One year ahead Expectation,Will Increase,85.1
2024-01-01,Spending - Essential Items,One year ahead Expectation,Will Remain Same,14.6
2024-03-01,Spending - Essential Items,One year ahead Expectation,Will Remain Same,14.5
2024-05-01,Spending - Essential Items,One year ahead Expectation,Will Remain Same,12.3
2024-07-01,Spending - Essential Items,One year ahead Expectation,Will Remain Same,12.1
2024-09-01,Spending - Essential Items,One year ahead Expectation,Will Remain Same,12.4
2024-11-01,Spending - Essential Items,One year ahead Expectation,Will Remain Same,11.5
2025-01-01,Spending - Essential Items,One year ahead Expectation,Will Remain Same,12.3
2024-01-01,Spending - Essential Items,One year ahead Expectation,Will Decrease,3.6
2024-03-01,Spending - Essential Items,One year ahead Expectation,Will Decrease,3.0
2024-05-01,Spending - Essential Items,One year ahead Expectation,Will Decrease,3.1
2024-07-01,Spending - Essential Items,One year ahead Expectation,Will Decrease,2.9
2024-09-01,Spending - Essential Items,One year ahead Expectation,Will Decrease,2.7
2024-11-01,Spending - Essential Items,One year ahead Expectation,Will Decrease,2.6
2025-01-01,Spending - Essential Items,One year ahead Expectation,Will Decrease,2.6
2024-01-01,Spending - Essential Items,One year ahead Expectation,Net Response,78.2
2024-03-01,Spending - Essential Items,One year ahead Expectation,Net Response,79.5
2024-05-01,Spending - Essential Items,One year ahead Expectation,Net Response,81.6
2024-07-01,Spending - Essential Items,One year ahead Expectation,Net Response,82.0
2024-09-01,Spending - Essential Items,One year ahead Expectation,Net Response,82.2
2024-11-01,Spending - Essential Items,One year ahead Expectation,Net Response,83.3
2025-01-01,Spending - Essential Items,One year ahead Expectation,Net Response,82.5
2024-01-01,Spending - Non-Essential Items,Current Perception,Increased,27.2
2024-03-01,Spending - Non-Essential Items,Current Perception,Increased,29.2
2024-05-01,Spending - Non-Essential Items,Current Perception,Increased,30.5
2024-07-01,Spending - Non-Essential Items,Current Perception,Increased,29.0
2024-09-01,Spending - Non-Essential Items,Current Perception,Increased,27.6
2024-11-01,Spending - Non-Essential Items,Current Perception,Increased,30.2
2025-01-01,Spending - Non-Essential Items,Current Perception,Increased,29.2
2024-01-01,Spending - Non-Essential Items,Current Perception,Remained Same,36.2
2024-03-01,Spending - Non-Essential Items,Current Perception,Remained Same,37.6
2024-05-01,Spending - Non-Essential Items,Current Perception,Remained Same,35.4
2024-07-01,Spending - Non-Essential Items,Current Perception,Remained Same,36.7
2024-09-01,Spending - Non-Essential Items,Current Perception,Remained Same,40.2
2024-11-01,Spending - Non-Essential Items,Current Perception,Remained Same,37.2
2025-01-01,Spending - Non-Essential Items,Current Perception,Remained Same,38.5
2024-01-01,Spending - Non-Essential Items,Current Perception,Decreased,36.6
2024-03-01,Spending - Non-Essential Items,Current Perception,Decreased,33.2
2024-05-01,Spending - Non-Essential Items,Current Perception,Decreased,34.1
2024-07-01,Spending - Non-Essential Items,Current Perception,Decreased,34.4
2024-09-01,Spending - Non-Essential Items,Current Perception,Decreased,32.3
2024-11-01,Spending - Non-Essential Items,Current Perception,Decreased,32.6
2025-01-01,Spending - Non-Essential Items,Current Perception,Decreased,32.3
2024-01-01,Spending - Non-Essential Items,Current Perception,Net Response,-9.4
2024-03-01,Spending - Non-Essential Items,Current Perception,Net Response,-4.1
2024-05-01,Spending - Non-Essential Items,Current Perception,Net Response,-3.7
2024-07-01,Spending - Non-Essential Items,Current Perception,Net Response,-5.4
2024-09-01,Spending - Non-Essential Items,Current Perception,Net Response,-4.7
2024-11-01,Spending - Non-Essential Items,Current Perception,Net Response,-2.4
2025-01-01,Spending - Non-Essential Items,Current Perception,Net Response,-3.1
2024-01-01,Spending - Non-Essential Items,One year ahead Expectation,Will Increase,34.6
2024-03-01,Spending - Non-Essential Items,One year ahead Expectation,Will Increase,35.7
2024-05-01,Spending - Non-Essential Items,One year ahead Expectation,Will Increase,37.4
2024-07-01,Spending - Non-Essential Items,One year ahead Expectation,Will Increase,37.4
2024-09-01,Spending - Non-Essential Items,One year ahead Expectation,Will Increase,36.4
2024-11-01,Spending - Non-Essential Items,One year ahead Expectation,Will Increase,38.4
2025-01-01,Spending - Non-Essential Items,One year ahead Expectation,Will Increase,37.4
2024-01-01,Spending - Non-Essential Items,One year ahead Expectation,Will Remain Same,36.4
2024-03-01,Spending - Non-Essential Items,One year ahead Expectation,Will Remain Same,37.6
2024-05-01,Spending - Non-Essential Items,One year ahead Expectation,Will Remain Same,35.2
2024-07-01,Spending - Non-Essential Items,One year ahead Expectation,Will Remain Same,35.6
2024-09-01,Spending - Non-Essential Items,One year ahead Expectation,Will Remain Same,37.8
2024-11-01,Spending - Non-Essential Items,One year ahead Expectation,Will Remain Same,35.0
2025-01-01,Spending - Non-Essential Items,One year ahead Expectation,Will Remain Same,36.1
2024-01-01,Spending - Non-Essential Items,One year ahead Expectation,Will Decrease,29.0
2024-03-01,Spending - Non-Essential Items,One year ahead Expectation,Will Decrease,26.7
2024-05-01,Spending - Non-Essential Items,One year ahead Expectation,Will Decrease,27.4
2024-07-01,Spending - Non-Essential Items,One year ahead Expectation,Will Decrease,27.0
2024-09-01,Spending - Non-Essential Items,One year ahead Expectation,Will Decrease,25.8
2024-11-01,Spending - Non-Essential Items,One year ahead Expectation,Will Decrease,26.6
2025-01-01,Spending - Non-Essential Items,One year ahead Expectation,Will Decrease,26.5
2024-01-01,Spending - Non-Essential Items,One year ahead Expectation,Net Response,5.5
2024-03-01,Spending - Non-Essential Items,One year ahead Expectation,Net Response,9.0
2024-05-01,Spending - Non-Essential Items,One year ahead Expectation,Net Response,9.9
2024-07-01,Spending - Non-Essential Items,One year ahead Expectation,Net Response,10.3
2024-09-01,Spending - Non-Essential Items,One year ahead Expectation,Net Response,10.6
2024-11-01,Spending - Non-Essential Items,One year ahead Expectation,Net Response,11.8
2025-01-01,Spending - Non-Essential Items,One year ahead Expectation,Net Response,11.0
2024-03-01,Spending- Essential Items,Current Perception,Increased,84.5
2024-05-01,Spending- Essential Items,Current Perception,Increased,85.6
2024-03-01,Spending- Essential Items,Current Perception,Remained Same,13.0
2024-05-01,Spending- Essential Items,Current Perception,Remained Same,11.8
2024-03-01,Spending- Essential Items,Current Perception,Decreased,2.5
2024-05-01,Spending- Essential Items,Current Perception,Decreased,2.7
2024-03-01,Spending- Essential Items,Current Perception,Net Response,82.0
2024-05-01,Spending- Essential Items,Current Perception,Net Response,82.9
2024-03-01,Spending- Essential Items,One year ahead Expectation,Will Increase,82.5
2024-05-01,Spending- Essential Items,One year ahead Expectation,Will Increase,84.7
2024-03-01,Spending- Essential Items,One year ahead Expectation,Will Remain Same,14.5
2024-05-01,Spending- Essential Items,One year ahead Expectation,Will Remain Same,12.3
2024-03-01,Spending- Essential Items,One year ahead Expectation,Will Decrease,3.0
2024-05-01,Spending- Essential Items,One year ahead Expectation,Will Decrease,3.1
2024-03-01,Spending- Essential Items,One year ahead Expectation,Net Response,79.5
2024-05-01,Spending- Essential Items,One year ahead Expectation,Net Response,81.6
2024-03-01,Spending- Non-Essential Items,Current Perception,Increased,29.2
2024-05-01,Spending- Non-Essential Items,Current Perception,Increased,30.5
2024-03-01,Spending- Non-Essential Items,Current Perception,Remained Same,37.6
2024-05-01,Spending- Non-Essential Items,Current Perception,Remained Same,35.4
2024-03-01,Spending- Non-Essential Items,Current Perception,Decreased,33.2
2024-05-01,Spending- Non-Essential Items,Current Perception,Decreased,34.1
2024-03-01,Spending- Non-Essential Items,Current Perception,Net Response,-4.1
2024-05-01,Spending- Non-Essential Items,Current Perception,Net Response,-3.7
2024-03-01,Spending- Non-Essential Items,One year ahead Expectation,Will Increase,35.7
2024-05-01,Spending- Non-Essential Items,One year ahead Expectation,Will Increase,37.4
2024-03-01,Spending- Non-Essential Items,One year ahead Expectation,Will Remain Same,37.6
2024-05-01,Spending- Non-Essential Items,One year ahead Expectation,Will Remain Same,35.2
2024-03-01,Spending- Non-Essential Items,One year ahead Expectation,Will Decrease,26.7
2024-05-01,Spending- Non-Essential Items,One year ahead Expectation,Will Decrease,27.4
2024-03-01,Spending- Non-Essential Items,One year ahead Expectation,Net Response,9.0
2024-05-01,Spending- Non-Essential Items,One year ahead Expectation,Net Response,9.9
2023-03-01,the General Economic Situation,Current Perception,Increased,31.4
2023-05-01,the General Economic Situation,Current Perception,Increased,32.1
2023-07-01,the General Economic Situation,Current Perception,Increased,30.4
2023-09-01,the General Economic Situation,Current Perception,Increased,36.1
2023-11-01,the General Economic Situation,Current Perception,Increased,33.1
2023-03-01,the General Economic Situation,Current Perception,Remained Same,16.9
2023-05-01,the General Economic Situation,Current Perception,Remained Same,19.0
2023-07-01,the General Economic Situation,Current Perception,Remained Same,18.5
2023-09-01,the General Economic Situation,Current Perception,Remained Same,19.9
2023-11-01,the General Economic Situation,Current Perception,Remained Same,22.5
2023-03-01,the General Economic Situation,Current Perception,Decreased,51.7
2023-05-01,the General Economic Situation,Current Perception,Decreased,48.9
2023-07-01,the General Economic Situation,Current Perception,Decreased,51.1
2023-09-01,the General Economic Situation,Current Perception,Decreased,44.0
2023-11-01,the General Economic Situation,Current Perception,Decreased,44.4
2023-03-01,the General Economic Situation,Current Perception,Net Response,-20.4
2023-05-01,the General Economic Situation,Current Perception,Net Response,-16.8
